Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
explainer video production service,CAD,140.0,50%,320%,Low,2.0,11.89,41.93,,,,,,90.0,90.0,70.0,90.0,70.0,70.0,110.0,210.0,210.0,140.0,260.0,210.0
best brand videos,CAD,90.0,0%,-18%,Low,14.0,1.69,13.28,,,,,,140.0,110.0,90.0,110.0,90.0,90.0,90.0,70.0,90.0,90.0,110.0,90.0
vfx companies near me,CAD,50.0,-50%,40%,Low,18.0,1.9,6.03,,,,,,30.0,50.0,90.0,50.0,20.0,40.0,30.0,40.0,50.0,140.0,50.0,70.0
professional video editing company,CAD,30.0,125%,800%,Low,5.0,5.17,15.6,,,,,,20.0,20.0,20.0,10.0,10.0,20.0,10.0,20.0,30.0,40.0,30.0,90.0
advert production,CAD,390.0,-19%,50%,Low,4.0,3.27,15.33,,,,,,260.0,210.0,260.0,260.0,320.0,320.0,390.0,320.0,390.0,590.0,720.0,480.0
youtube video maker agency,CAD,10.0,0%,∞,Low,0.0,,,,,,,,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0
corporate branding video,CAD,70.0,57%,175%,Low,5.0,6.7,15.92,,,,,,40.0,30.0,30.0,50.0,40.0,50.0,30.0,40.0,50.0,70.0,170.0,110.0
best video production companies near me,CAD,30.0,-60%,0%,Low,6.0,,,,,,,,30.0,20.0,30.0,20.0,30.0,20.0,20.0,30.0,30.0,50.0,50.0,20.0
clutch video production,CAD,10.0,-50%,0%,Medium,36.0,3.12,17.66,,,,,,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0
2d animation fiverr,CAD,10.0,100%,100%,Low,15.0,0.75,4.04,,,,,,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0
demo duck pricing,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
fort worth production companies,CAD,30.0,-50%,-50%,Medium,38.0,3.62,14.0,,,,,,30.0,10.0,30.0,10.0,20.0,20.0,20.0,20.0,40.0,40.0,50.0,20.0
epic videography,CAD,880.0,233%,173%,Low,0.0,,,,,,,,880.0,390.0,720.0,720.0,720.0,880.0,720.0,590.0,720.0,720.0,1300.0,2400.0
computer animation studios,CAD,90.0,-33%,250%,Low,2.0,2.32,15.49,,,,,,40.0,70.0,40.0,90.0,70.0,20.0,50.0,50.0,170.0,210.0,140.0,140.0
commercial production houses,CAD,50.0,-40%,-57%,Low,20.0,9.84,24.66,,,,,,50.0,40.0,50.0,70.0,70.0,70.0,70.0,70.0,40.0,50.0,70.0,30.0
top video agencies,CAD,10.0,0%,0%,Low,24.0,,,,,,,,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
digital video company,CAD,40.0,0%,33%,Low,8.0,23.58,33.46,,,,,,30.0,40.0,30.0,40.0,30.0,40.0,40.0,50.0,30.0,40.0,90.0,40.0
3d architectural walkthrough services,CAD,70.0,-36%,40%,Low,5.0,11.86,25.85,,,,,,70.0,70.0,70.0,50.0,70.0,40.0,50.0,70.0,70.0,110.0,140.0,70.0
media production company website,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
digital media video production,CAD,20.0,0%,200%,Low,11.0,2.84,9.34,,,,,,20.0,10.0,10.0,10.0,20.0,20.0,10.0,20.0,30.0,30.0,30.0,30.0
social video producer,CAD,40.0,-20%,100%,Low,13.0,5.35,11.4,,,,,,30.0,50.0,50.0,40.0,50.0,50.0,30.0,20.0,30.0,50.0,50.0,40.0
agency video maker,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
explainer video maker company,CAD,10.0,-50%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0,20.0,20.0,10.0,10.0
marketing agency video production,CAD,30.0,67%,400%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,50.0,40.0,70.0,30.0,50.0,50.0
brand video marketing,CAD,50.0,267%,120%,Low,9.0,6.73,20.5,,,,,,50.0,50.0,50.0,50.0,30.0,30.0,50.0,50.0,40.0,30.0,70.0,110.0
video pre roll ads,CAD,110.0,0%,-19%,Low,3.0,5.95,55.9,,,,,,170.0,70.0,70.0,70.0,90.0,90.0,70.0,90.0,70.0,170.0,210.0,170.0
special effects companies near me,CAD,20.0,-33%,-33%,Low,30.0,1.91,17.22,,,,,,30.0,30.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0
e commerce video production,CAD,140.0,21%,143%,Low,5.0,9.31,24.48,,,,,,70.0,50.0,90.0,70.0,70.0,90.0,170.0,260.0,170.0,140.0,170.0,170.0
youtube production studio,CAD,10.0,0%,0%,Low,25.0,2.38,9.31,,,,,,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0
company corporate video,CAD,480.0,69%,213%,Low,2.0,6.68,34.52,,,,,,480.0,320.0,320.0,260.0,320.0,320.0,480.0,390.0,480.0,590.0,720.0,1000.0
3d animation house,CAD,50.0,0%,80%,Low,3.0,2.39,13.86,,,,,,50.0,30.0,30.0,40.0,40.0,40.0,40.0,40.0,70.0,90.0,110.0,90.0
video production services cost,CAD,20.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,70.0,40.0,30.0,10.0,20.0,10.0
best whiteboard animation videos,CAD,10.0,300%,300%,Low,12.0,7.5,40.37,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,40.0
3d production studio,CAD,20.0,-40%,200%,Low,5.0,,,,,,,,10.0,10.0,20.0,10.0,10.0,10.0,0.0,10.0,40.0,50.0,30.0,30.0
one of us vfx,CAD,480.0,-19%,-19%,Low,1.0,1.49,5.49,,,,,,590.0,480.0,590.0,390.0,590.0,480.0,480.0,320.0,590.0,590.0,590.0,480.0
tv advert production company,CAD,1000.0,50%,233%,Low,6.0,8.81,46.9,,,,,,720.0,590.0,590.0,880.0,590.0,720.0,590.0,590.0,1000.0,1600.0,1600.0,2400.0
award winning production company,CAD,10.0,100%,100%,Low,5.0,,,,,,,,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,20.0
top video marketing companies,CAD,20.0,25%,400%,Low,3.0,,,,,,,,10.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0,30.0,40.0,70.0,50.0
3d video production companies,CAD,170.0,50%,133%,Low,3.0,2.97,34.94,,,,,,90.0,70.0,90.0,140.0,140.0,110.0,210.0,210.0,210.0,140.0,260.0,210.0
explainer animation agency,CAD,20.0,200%,200%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,40.0,30.0
best video production services,CAD,30.0,50%,200%,Low,7.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,70.0,50.0,90.0,20.0,40.0,30.0
brand video creation,CAD,20.0,0%,200%,Low,0.0,,,,,,,,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,50.0,30.0
architectural animation services,CAD,70.0,29%,125%,Low,2.0,,,,,,,,50.0,90.0,90.0,50.0,50.0,40.0,90.0,70.0,70.0,70.0,140.0,90.0
black magic davinci resolve,CAD,1900.0,0%,85%,Low,26.0,0.2,7.45,,,,,,1300.0,1300.0,1600.0,1300.0,1300.0,1300.0,1900.0,1900.0,2900.0,2400.0,2400.0,2400.0
nonprofit video production company,CAD,170.0,24%,86%,Low,3.0,3.06,12.88,,,,,,170.0,110.0,170.0,90.0,140.0,90.0,210.0,210.0,320.0,210.0,320.0,260.0
video production for non profits,CAD,10.0,0%,0%,Low,2.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
framestore vfx,CAD,390.0,0%,23%,Low,3.0,2.87,13.98,,,,,,390.0,480.0,390.0,320.0,320.0,390.0,390.0,320.0,390.0,480.0,480.0,480.0
video production agencies near me,CAD,1900.0,0%,0%,Low,20.0,4.86,21.62,,,,,,1900.0,1600.0,1900.0,1600.0,1600.0,1900.0,1900.0,1300.0,2400.0,1900.0,2400.0,1900.0
philadelphia film production companies,CAD,90.0,-36%,-47%,Low,25.0,2.38,6.51,,,,,,110.0,90.0,70.0,70.0,110.0,90.0,90.0,70.0,90.0,140.0,110.0,90.0
multi media production company,CAD,10.0,0%,0%,Medium,36.0,2.43,7.84,,,,,,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,30.0,10.0
animation rendering,CAD,320.0,22%,0%,Low,7.0,3.68,15.13,,,,,,390.0,260.0,260.0,320.0,260.0,320.0,320.0,390.0,390.0,320.0,390.0,390.0
israeli production companies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
movie editing companies,CAD,110.0,-33%,100%,Low,21.0,3.3,12.7,,,,,,50.0,70.0,90.0,70.0,110.0,170.0,140.0,70.0,170.0,210.0,140.0,140.0
technical 3d animation,CAD,30.0,40%,600%,Low,1.0,,,,,,,,70.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,50.0,70.0,70.0
music video production studio,CAD,20.0,-67%,0%,Medium,43.0,1.85,5.1,,,,,,20.0,10.0,20.0,10.0,20.0,30.0,20.0,20.0,20.0,30.0,30.0,10.0
demo duck vimeo,CAD,10.0,0%,0%,Medium,36.0,,,,,,,,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0
long island production companies,CAD,50.0,40%,0%,Low,23.0,4.08,13.0,,,,,,50.0,40.0,20.0,30.0,50.0,50.0,50.0,30.0,70.0,50.0,90.0,70.0
animated explainer company,CAD,10.0,200%,200%,Low,16.0,31.58,54.18,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,30.0
small vfx studios,CAD,10.0,-75%,0%,Low,29.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,30.0,10.0
biggest commercial production companies,CAD,10.0,0%,0%,Medium,34.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0
3d walkthrough price,CAD,20.0,-67%,-50%,Medium,46.0,1.28,3.4,,,,,,30.0,30.0,30.0,20.0,30.0,10.0,10.0,10.0,20.0,30.0,20.0,10.0
video production marketing agency,CAD,50.0,-55%,150%,Low,18.0,10.65,23.66,,,,,,20.0,20.0,20.0,20.0,30.0,30.0,110.0,70.0,50.0,110.0,110.0,50.0
3d motion graphics designer,CAD,30.0,0%,150%,Low,5.0,,,,,,,,30.0,20.0,20.0,10.0,20.0,10.0,30.0,30.0,50.0,50.0,50.0,50.0
3d sparrow animation studio,CAD,10.0,0%,0%,Low,14.0,2.77,4.19,,,,,,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best animated explainer video companies,CAD,20.0,50%,200%,Low,2.0,,,,,,,,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0,40.0,30.0
music video production house,CAD,10.0,0%,-50%,Low,13.0,,,,,,,,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
dubbed naruto crunchyroll,CAD,50.0,33%,-20%,Low,8.0,3.75,9.24,,,,,,70.0,110.0,50.0,50.0,70.0,70.0,50.0,30.0,30.0,30.0,20.0,40.0
seneca 3d animation,CAD,40.0,-33%,-60%,Low,6.0,,,,,,,,20.0,30.0,40.0,40.0,50.0,40.0,40.0,40.0,40.0,30.0,30.0,20.0
phoenix video production company,CAD,50.0,67%,0%,Low,16.0,3.27,21.45,,,,,,70.0,50.0,40.0,90.0,50.0,20.0,30.0,70.0,30.0,30.0,50.0,50.0
prime focus vfx,CAD,50.0,-25%,-40%,Low,4.0,,,,,,,,110.0,50.0,90.0,30.0,30.0,70.0,40.0,40.0,40.0,40.0,40.0,30.0
social video production agency,CAD,50.0,75%,250%,Low,1.0,,,,,,,,20.0,20.0,40.0,40.0,20.0,40.0,70.0,70.0,70.0,40.0,110.0,70.0
virtual animation studio,CAD,10.0,0%,0%,Medium,36.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
short video company,CAD,20.0,-29%,400%,Low,4.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,70.0,70.0,50.0
animated film companies,CAD,1900.0,0%,50%,Low,16.0,3.82,25.0,,,,,,1900.0,1600.0,1600.0,1600.0,1600.0,1900.0,1900.0,1600.0,2400.0,2400.0,2400.0,2400.0
top 3d animation studios,CAD,40.0,50%,-25%,Low,12.0,3.39,15.09,,,,,,10.0,20.0,30.0,30.0,30.0,30.0,70.0,70.0,40.0,20.0,40.0,30.0
3d video for 3d glasses,CAD,1000.0,82%,82%,Low,5.0,0.42,1.5,,,,,,720.0,1000.0,1300.0,1600.0,880.0,880.0,1300.0,1300.0,880.0,880.0,880.0,1600.0
the video animation company,CAD,10.0,0%,0%,Low,10.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
cgi animation agency,CAD,30.0,40%,600%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,40.0,50.0,50.0,70.0
everlast video productions,CAD,10.0,0%,0%,Low,5.0,,,,,,,,30.0,10.0,20.0,10.0,10.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0
3d animation production house,CAD,20.0,50%,200%,Low,3.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,40.0,30.0,40.0,20.0,40.0,30.0
starting a video production business,CAD,10.0,-50%,0%,Medium,34.0,,,,,,,,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0
video production global,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
commercial real estate video production,CAD,40.0,100%,300%,Low,6.0,,,,,,,,40.0,30.0,50.0,20.0,30.0,50.0,30.0,40.0,40.0,20.0,50.0,40.0
3d cgi studio,CAD,10.0,0%,∞,Medium,52.0,,,,,,,,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,20.0,10.0,10.0,10.0
video 3d animation maker,CAD,10.0,∞,0%,Medium,50.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
empire video production,CAD,10.0,0%,0%,Low,9.0,,,,,,,,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0
advertising film production,CAD,20.0,0%,67%,Low,6.0,2.59,24.26,,,,,,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,50.0,50.0,50.0
video production for commercials,CAD,1300.0,-45%,60%,Low,3.0,5.47,28.7,,,,,,1000.0,1000.0,880.0,720.0,720.0,880.0,880.0,880.0,1600.0,2900.0,2400.0,1600.0
video development company,CAD,20.0,75%,600%,Low,3.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,40.0,70.0,70.0
3d medical animation studio,CAD,50.0,0%,250%,Low,4.0,,,,,,,,20.0,10.0,10.0,20.0,10.0,20.0,90.0,50.0,90.0,70.0,90.0,70.0
commercial production services,CAD,70.0,0%,125%,Low,3.0,11.21,24.6,,,,,,50.0,40.0,40.0,30.0,50.0,30.0,70.0,70.0,70.0,90.0,110.0,90.0
commercial video production cost,CAD,70.0,-36%,350%,Low,1.0,,,,,,,,20.0,30.0,10.0,20.0,30.0,20.0,70.0,70.0,140.0,140.0,110.0,90.0
3d animation medical education,CAD,10.0,0%,0%,Low,10.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0
interior design animation,CAD,30.0,-20%,100%,Low,2.0,,,,,,,,50.0,20.0,30.0,30.0,30.0,30.0,10.0,30.0,30.0,50.0,70.0,40.0
corporate event video production,CAD,140.0,136%,189%,Low,1.0,5.89,10.87,,,,,,90.0,110.0,90.0,70.0,110.0,90.0,140.0,140.0,260.0,110.0,260.0,260.0
real estate production company,CAD,10.0,100%,100%,Low,5.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,20.0,20.0
starting a media production company,CAD,20.0,-33%,-33%,Low,11.0,,,,,,,,30.0,30.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,30.0,20.0,20.0
international video production,CAD,30.0,250%,600%,Low,2.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,70.0,20.0,110.0,70.0
brand advertising video,CAD,10.0,100%,100%,Low,14.0,3.4,21.07,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0
top video companies,CAD,10.0,0%,0%,Medium,49.0,10.62,37.45,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0
sparkhouse video production,CAD,20.0,0%,50%,Low,23.0,7.23,26.27,,,,,,20.0,30.0,20.0,20.0,20.0,10.0,20.0,10.0,20.0,30.0,40.0,30.0
video production podcast,CAD,140.0,24%,50%,Low,13.0,3.0,13.78,,,,,,140.0,170.0,140.0,90.0,90.0,90.0,110.0,90.0,140.0,170.0,210.0,210.0
video film company,CAD,8100.0,22%,174%,Low,7.0,5.34,21.51,,,,,,6600.0,5400.0,5400.0,5400.0,4400.0,5400.0,6600.0,5400.0,9900.0,12100.0,14800.0,14800.0
top production company,CAD,20.0,0%,-33%,Low,8.0,,,,,,,,20.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,30.0,20.0,40.0,20.0
commercial video producer,CAD,1300.0,-45%,60%,Low,3.0,5.47,28.7,,,,,,1000.0,1000.0,880.0,720.0,720.0,880.0,880.0,880.0,1600.0,2900.0,2400.0,1600.0
creative video company,CAD,50.0,0%,80%,Low,1.0,,,,,,,,40.0,30.0,30.0,40.0,50.0,30.0,50.0,50.0,70.0,90.0,110.0,90.0
animation studio 3d,CAD,20.0,100%,100%,Low,12.0,2.61,15.09,,,,,,10.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,20.0
live video production company,CAD,50.0,-21%,1000%,Low,1.0,,,,,,,,10.0,10.0,20.0,10.0,30.0,30.0,30.0,20.0,90.0,140.0,140.0,110.0
award winning video production,CAD,40.0,80%,200%,Low,1.0,,,,,,,,40.0,20.0,20.0,30.0,10.0,30.0,30.0,40.0,20.0,50.0,90.0,90.0
phoenix film production company,CAD,10.0,0%,0%,Medium,36.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0
pro video production,CAD,480.0,-55%,125%,Low,2.0,6.62,55.9,,,,,,320.0,320.0,260.0,210.0,260.0,260.0,320.0,480.0,590.0,1600.0,880.0,720.0
music video production company near me,CAD,20.0,50%,50%,Low,11.0,3.05,11.5,,,,,,40.0,20.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,20.0,20.0,30.0
3d animation studios list,CAD,20.0,0%,100%,Low,4.0,,,,,,,,20.0,10.0,10.0,20.0,30.0,20.0,20.0,40.0,30.0,20.0,30.0,20.0
small business video production company,CAD,20.0,0%,0%,Low,0.0,,,,,,,,20.0,10.0,10.0,10.0,10.0,20.0,50.0,40.0,40.0,10.0,20.0,10.0
video editing studios near me,CAD,20.0,0%,-50%,Low,14.0,,,,,,,,10.0,10.0,20.0,30.0,10.0,40.0,10.0,10.0,20.0,10.0,40.0,10.0
2d 3d animation studio,CAD,10.0,100%,100%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0
3d animation architecture design,CAD,10.0,-50%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0,10.0
video graphics company,CAD,10.0,0%,0%,Low,4.0,,,,,,,,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0
medical animation services,CAD,90.0,21%,750%,Low,3.0,11.13,32.23,,,,,,30.0,20.0,20.0,40.0,40.0,70.0,90.0,90.0,140.0,140.0,210.0,170.0
corporate explainer video production,CAD,170.0,24%,189%,Low,6.0,4.86,26.71,,,,,,110.0,90.0,70.0,110.0,90.0,110.0,210.0,170.0,210.0,210.0,320.0,260.0
marketing video production services,CAD,210.0,0%,86%,Low,1.0,6.29,31.95,,,,,,140.0,140.0,110.0,110.0,110.0,140.0,170.0,210.0,260.0,260.0,390.0,260.0
video production company prices,CAD,40.0,33%,300%,Low,13.0,2.31,10.24,,,,,,10.0,10.0,10.0,10.0,10.0,20.0,90.0,50.0,90.0,30.0,50.0,40.0
the 360 video company,CAD,10.0,50%,200%,Low,3.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,30.0
youtube production team,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3d rendering and animation,CAD,210.0,-18%,129%,Low,8.0,3.29,14.8,,,,,,110.0,140.0,110.0,140.0,110.0,140.0,110.0,140.0,260.0,390.0,390.0,320.0
photography production house,CAD,10.0,0%,0%,Low,29.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
vfx animation studio,CAD,20.0,0%,0%,Low,22.0,4.89,13.53,,,,,,20.0,50.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,30.0,10.0
3d animation price per minute,CAD,70.0,-29%,0%,Low,13.0,2.3,10.05,,,,,,70.0,50.0,70.0,40.0,50.0,50.0,110.0,70.0,90.0,70.0,70.0,50.0
top 10 video production companies,CAD,10.0,0%,0%,Medium,57.0,1.62,4.28,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,40.0,10.0,30.0,10.0
web video producer,CAD,70.0,-36%,80%,Low,8.0,4.32,10.93,,,,,,50.0,20.0,40.0,20.0,50.0,50.0,70.0,50.0,50.0,140.0,260.0,90.0
photography and video company,CAD,70.0,3800%,875%,Low,3.0,1.86,12.93,,,,,,30.0,30.0,30.0,20.0,30.0,30.0,30.0,20.0,40.0,10.0,70.0,390.0
corporate marketing video production,CAD,40.0,25%,67%,Low,6.0,9.56,61.37,,,,,,20.0,40.0,40.0,30.0,30.0,20.0,50.0,50.0,50.0,40.0,70.0,50.0
vfx house,CAD,110.0,-36%,0%,Low,6.0,1.69,3.95,,,,,,90.0,110.0,90.0,90.0,70.0,90.0,110.0,70.0,140.0,140.0,140.0,90.0
video post production companies,CAD,70.0,-21%,267%,Low,1.0,,,,,,,,10.0,20.0,20.0,20.0,20.0,20.0,110.0,70.0,70.0,140.0,140.0,110.0
amazon sponsored brands video ads,CAD,10.0,0%,0%,Low,6.0,,,,,,,,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,20.0,10.0
architectural animation company,CAD,40.0,-22%,250%,Low,0.0,,,,,,,,10.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,40.0,90.0,110.0,70.0
corporate video production prices,CAD,260.0,23%,191%,Low,3.0,4.45,18.24,,,,,,110.0,140.0,210.0,140.0,140.0,110.0,320.0,480.0,390.0,260.0,320.0,320.0
video corporate production,CAD,2900.0,-19%,238%,Low,5.0,6.51,32.18,,,,,,1900.0,1600.0,1600.0,1600.0,1600.0,1600.0,2400.0,2400.0,3600.0,5400.0,5400.0,4400.0
character animation studios,CAD,50.0,0%,200%,Low,6.0,4.06,19.01,,,,,,40.0,10.0,20.0,20.0,20.0,20.0,70.0,90.0,90.0,90.0,110.0,90.0
whiteboard video production company,CAD,20.0,-25%,∞,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,50.0,40.0,30.0,40.0,40.0,30.0
viral video companies,CAD,40.0,29%,350%,Low,8.0,3.28,9.65,,,,,,20.0,20.0,70.0,20.0,10.0,20.0,20.0,10.0,30.0,70.0,90.0,90.0
vfx production company,CAD,20.0,0%,100%,Low,15.0,3.13,7.32,,,,,,30.0,20.0,20.0,10.0,10.0,10.0,20.0,30.0,20.0,20.0,30.0,20.0
corporate training video production company,CAD,20.0,50%,200%,Low,7.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,30.0,40.0,50.0,20.0,40.0,30.0
wedding video production company,CAD,50.0,-71%,150%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,20.0,10.0,50.0,10.0,110.0,170.0,70.0,50.0
international video company,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
companies looking for video production,CAD,10.0,-50%,0%,Low,12.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0
cgi product animation,CAD,50.0,0%,1300%,Low,7.0,2.22,14.28,,,,,,30.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,40.0,140.0,140.0,140.0
online video production company,CAD,50.0,-50%,133%,Low,2.0,,,,,,,,30.0,40.0,40.0,30.0,40.0,50.0,70.0,50.0,70.0,140.0,90.0,70.0
saas explainer video production,CAD,20.0,50%,200%,Low,12.0,9.29,19.97,,,,,,10.0,10.0,40.0,10.0,20.0,10.0,20.0,50.0,50.0,20.0,30.0,30.0
ad agency video,CAD,880.0,23%,233%,Low,4.0,7.78,35.31,,,,,,480.0,390.0,390.0,390.0,720.0,480.0,480.0,590.0,880.0,1300.0,1900.0,1600.0
tv commercial video production,CAD,1300.0,-45%,60%,Low,3.0,5.47,28.7,,,,,,1000.0,1000.0,880.0,720.0,720.0,880.0,880.0,880.0,1600.0,2900.0,2400.0,1600.0
creative explainer videos,CAD,20.0,40%,600%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,50.0,70.0,70.0
special effects studios,CAD,90.0,22%,22%,Low,3.0,3.57,6.2,,,,,,90.0,70.0,110.0,70.0,110.0,70.0,70.0,90.0,110.0,90.0,90.0,110.0
creative video content,CAD,10.0,100%,-33%,Low,13.0,14.45,20.96,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
music video marketing companies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3d animation real estate,CAD,10.0,0%,0%,Low,9.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,40.0,20.0
commercial production studio,CAD,70.0,200%,600%,Low,2.0,4.26,15.09,,,,,,40.0,50.0,50.0,40.0,70.0,50.0,50.0,50.0,50.0,70.0,70.0,210.0
